ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,relicColor,sortGroupId,isSalable,isDeepRelic,colorIcon,unknown_2,sortId,padding,sortId_unk,attachEffectTableId_1,attachEffectTableId_2,attachEffectTableId_3,iconId,attachEffectTableId_curse1,attachEffectTableId_curse2,attachEffectTableId_curse3,endPadding,
1,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,501100000,-1,-1,416,-1,-1,-1,[0|0|0|0]
2,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,501100000,501200000,-1,416,-1,-1,-1,[0|0|0|0]
3,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,501100000,501200000,501300000,416,-1,-1,-1,[0|0|0|0]
4,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,410000001,-1,-1,416,-1,-1,-1,[0|0|0|0]
5,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,410000002,-1,-1,416,-1,-1,-1,[0|0|0|0]
6,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,410000003,410000003,410000003,416,-1,-1,-1,[0|0|0|0]
10,,1,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,-1,-1,-1,19951,-1,-1,-1,[0|0|0|0]
11,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,-1,-1,-1,19952,-1,-1,-1,[0|0|0|0]
20,,1,0,[0|0|0],0,255,1,0,0,0,0,[0|0],-1,-1,-1,-1,19200,-1,-1,-1,[0|0|0|0]
100,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20000,100,-1,-1,19100,-1,-1,-1,[0|0|0|0]
101,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20001,200,100,-1,19104,-1,-1,-1,[0|0|0|0]
102,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20002,300,200,100,19108,-1,-1,-1,[0|0|0|0]
103,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20003,100,-1,-1,19112,-1,-1,-1,[0|0|0|0]
104,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20004,200,100,-1,19116,-1,-1,-1,[0|0|0|0]
105,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20005,300,200,100,19120,-1,-1,-1,[0|0|0|0]
106,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20006,100,-1,-1,19124,-1,-1,-1,[0|0|0|0]
107,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20007,200,100,-1,19128,-1,-1,-1,[0|0|0|0]
108,,0,0,[0|0|0],0,255,1,0,0,0,0,[0|0],20008,300,200,100,19132,-1,-1,-1,[0|0|0|0]
109,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20009,100,-1,-1,19101,-1,-1,-1,[0|0|0|0]
110,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20010,200,100,-1,19105,-1,-1,-1,[0|0|0|0]
111,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20011,300,200,100,19109,-1,-1,-1,[0|0|0|0]
112,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20012,100,-1,-1,19113,-1,-1,-1,[0|0|0|0]
113,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20013,200,100,-1,19117,-1,-1,-1,[0|0|0|0]
114,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20014,300,200,100,19121,-1,-1,-1,[0|0|0|0]
115,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20015,100,-1,-1,19125,-1,-1,-1,[0|0|0|0]
116,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20016,200,100,-1,19129,-1,-1,-1,[0|0|0|0]
117,,0,0,[0|0|0],1,255,1,0,0,0,0,[0|0],20017,300,200,100,19133,-1,-1,-1,[0|0|0|0]
118,,0,0,[0|0|0],2,255,1,0,0,0,0,[0|0],20018,100,-1,-1,19102,-1,-1,-1,[0|0|0|0]
119,,0,0,[0|0|0],2,255,1,0,0,0,0,[0|0],20019,200,100,-1,19106,-1,-1,-1,[0|0|0|0]
120,,0,0,[0|0|0],2,255,1,0,0,0,0,[0|0],20020,300,200,100,19110,-1,-1,-1,[0|0|0|0]
121,,0,0,[0|0|0],2,255,1,0,0,0,0,[0|0],20021,100,-1,-1,19114,-1,-1,-1,[0|0|0|0]
